dateObserved;temperature;relativeHumidity
2024-09-25T04:30Z;10.566873;92.03349
2024-09-25T04:50Z;10.633631;91.26864
2024-09-25T05:00Z;10.62562;90.62394
2024-09-25T05:10Z;10.654993;90.534294
2024-09-25T05:20Z;10.534829;90.61631
2024-09-25T05:30Z;10.420005;90.76318
2024-09-25T05:40Z;10.345236;90.28062
2024-09-25T06:00Z;10.564202;89.47379
2024-09-25T06:20Z;10.970093;87.90021
2024-09-25T06:50Z;11.546884;86.338066
2024-09-25T07:10Z;11.867323;85.76013
2024-09-25T07:30Z;12.305257;85.56939
2024-09-25T08:00Z;13.159762;81.62684
2024-09-25T08:10Z;13.346685;80.8143
2024-09-25T08:30Z;14.078355;77.964676
2024-09-25T08:50Z;14.7566185;73.011215
2024-09-25T09:00Z;14.92752;71.57496
2024-09-25T09:20Z;15.547036;70.76814
2024-09-25T09:40Z;15.963607;69.45777
2024-09-25T10:20Z;17.061111;66.17517
2024-09-25T10:30Z;17.661936;65.12802
2024-09-25T10:50Z;17.902266;63.567787
2024-09-25T11:00Z;18.244068;63.241627
2024-09-25T11:20Z;19.64866;56.214848
2024-09-25T11:40Z;20.115969;56.14809
2024-09-25T11:50Z;20.086596;52.737698
2024-09-25T12:10Z;19.931715;52.827343
2024-09-25T12:40Z;19.675364;54.988403
2024-09-25T13:30Z;18.959717;55.13146
2024-09-25T14:20Z;18.233387;57.157093
2024-09-25T14:30Z;18.134584;55.612114
2024-09-25T15:20Z;17.499046;57.458458
2024-09-25T15:50Z;17.389563;58.16419
2024-09-25T16:10Z;17.253376;58.669643
2024-09-25T16:30Z;17.186617;58.656292
2024-09-25T16:40Z;17.167925;58.791714
2024-09-25T17:00Z;17.007706;61.82063
2024-09-25T17:20Z;16.88754;62.11055
2024-09-25T17:30Z;16.588465;63.30457
2024-09-25T17:40Z;16.63119;64.25445
2024-09-25T17:51Z;16.094454;67.46075
2024-09-25T18:00Z;16.059738;68.85886
2024-09-25T18:10Z;15.723278;70.52972
2024-09-25T18:30Z;15.520332;74.02022
2024-09-25T18:40Z;15.17586;78.70664
2024-09-25T19:00Z;14.863432;79.52491
2024-09-25T19:10Z;14.494926;83.20424
2024-09-25T19:20Z;14.36141;83.57809
2024-09-25T19:30Z;14.369421;80.27642
2024-09-25T20:10Z;13.918136;88.104294
2024-09-25T20:40Z;13.992905;89.429924
2024-09-25T20:50Z;13.773937;87.980316
2024-09-25T21:20Z;13.560311;86.38384
2024-09-25T21:30Z;13.677806;86.46395
2024-09-25T21:50Z;13.7579155;85.21652
2024-09-25T22:20Z;13.405432;89.256355
2024-09-25T22:50Z;13.7018385;91.100784
2024-09-25T23:20Z;13.237202;91.96483
2024-09-25T23:50Z;13.010223;92.20706
2024-09-26T00:10Z;13.010223;92.233765
2024-09-26T00:40Z;12.90341;93.70054
2024-09-26T00:50Z;12.855345;94.19646
2024-09-26T01:00Z;12.831311;94.354774
2024-09-26T01:10Z;12.914092;94.43107
2024-09-26T01:20Z;12.772564;94.14877
2024-09-26T01:30Z;12.7592125;94.28611
2024-09-26T01:40Z;12.73251;94.32807
2024-09-26T02:00Z;12.636377;94.35859
2024-09-26T02:10Z;12.708476;93.95232
2024-09-26T02:20Z;12.636377;94.47303
2024-09-26T02:50Z;12.882048;94.75723
2024-09-26T03:10Z;12.850004;94.78966
2024-09-26T03:40Z;13.031587;94.66186
2024-09-26T03:50Z;12.922103;94.71145
2024-09-26T04:20Z;12.767223;95.165405
2024-09-26T04:30Z;12.962157;94.6733
2024-09-26T04:50Z;13.287938;94.22316
2024-09-26T05:20Z;13.287938;94.99184
2024-09-26T06:10Z;13.608377;93.923706
2024-09-26T06:20Z;13.627069;93.458305
2024-09-26T06:30Z;13.683146;93.92752
2024-09-26T06:40Z;13.688487;92.94331
2024-09-26T06:50Z;13.736553;93.172195
2024-09-26T07:40Z;14.123751;91.12749
2024-09-26T08:00Z;14.166476;93.53269
2024-09-26T08:20Z;14.297322;92.46075
2024-09-26T08:40Z;14.494926;93.03296
2024-09-26T08:50Z;14.609751;93.56893
2024-09-26T09:00Z;14.6818495;93.60708
2024-09-26T09:30Z;14.719234;94.35287
2024-09-26T09:50Z;14.580377;95.72617
2024-09-26T10:10Z;14.826047;95.69184
2024-09-26T12:30Z;15.023651;93.24277
2024-09-26T12:40Z;14.962234;92.75067
2024-09-26T13:00Z;14.898146;93.702446
2024-09-26T13:30Z;14.895475;94.91554
2024-09-26T13:40Z;14.852751;94.762955
2024-09-26T14:00Z;14.858091;94.69428
2024-09-26T14:30Z;14.724575;93.244675
2024-09-26T15:10Z;14.676509;92.426414
2024-09-26T15:30Z;14.673839;92.75258
2024-09-26T15:40Z;14.7566185;93.48501
2024-09-26T16:00Z;14.59907;93.67574
2024-09-26T16:10Z;14.68719;93.46021
2024-09-26T16:40Z;14.713893;91.71114
2024-09-26T16:50Z;15.114443;88.89586
2024-09-26T17:00Z;15.215915;84.02251
2024-09-26T17:30Z;14.671168;87.14488
2024-09-26T18:10Z;14.906157;84.409706
2024-09-26T18:20Z;15.365454;80.34318
2024-09-26T18:40Z;15.712596;77.22461
2024-09-26T19:00Z;14.804685;81.41512
2024-09-26T19:01Z;14.804685;81.41512
2024-09-26T19:10Z;14.77264;82.33257
2024-09-26T19:20Z;14.460212;84.57946
2024-09-26T19:40Z;14.193179;88.34844
2024-09-26T20:10Z;13.928817;89.49096
2024-09-26T20:20Z;13.976883;88.97597
2024-09-26T20:40Z;13.838025;91.10841
2024-09-26T20:50Z;13.699168;91.36591
2024-09-26T21:10Z;13.458838;92.332954
2024-09-26T21:20Z;13.530937;90.841385
2024-09-26T21:50Z;13.271915;92.06401
2024-09-26T22:10Z;13.450828;90.45609
2024-09-26T22:20Z;13.239872;91.42695
2024-09-26T23:00Z;12.537576;92.92424
2024-09-26T23:40Z;12.967498;90.784164
2024-09-26T23:50Z;12.767223;90.80324
2024-09-27T00:00Z;12.764553;90.78607
2024-09-27T00:10Z;12.876707;90.45037
2024-09-27T00:20Z;12.500191;92.7583
2024-09-27T01:00Z;12.930114;88.33318
2024-09-27T01:10Z;12.235828;91.86946
2024-09-27T01:20Z;11.942092;92.65339
2024-09-27T01:50Z;12.235828;89.8114
2024-09-27T02:00Z;12.179751;90.92912
2024-09-27T02:10Z;12.038224;91.508965
2024-09-27T02:20Z;11.656367;92.02777
2024-09-27T03:10Z;12.548257;87.56832
2024-09-27T03:40Z;13.611048;79.7538
2024-09-27T04:20Z;12.33196;89.17433
2024-09-27T04:30Z;12.40673;91.072174
2024-09-27T04:40Z;12.016861;91.58526
2024-09-27T05:50Z;14.639124;76.55703
2024-09-27T06:00Z;14.008926;79.799576
2024-09-27T06:10Z;14.105059;76.41207
2024-09-27T06:20Z;14.318685;76.03822
2024-09-27T07:20Z;14.839398;77.4535
